title,author,user_rating,published_year,avg_rating,ratings_count
Caderno proibido,"Céspedes, Alba de",4,1952,4.23,12340
Crônica de uma Morte Anunciada,"García Márquez, Gabriel",5,1981,3.97,217767
Hamnet,"O'Farrell, Maggie",4,2020,4.19,300463
Intermezzo,"Rooney, Sally",4,2024,3.89,209391
Noiva,"Hazelwood, Ali",3,2024,4.0,540831
Yellowface,"Kuang, R.F.",4,2023,3.74,822036
Lie With Me,"Besson, Philippe",5,2017,4.27,54255
Só Garotos,"Smith, Patti",4,2010,4.22,322786
Cidade das garotas,"Gilbert, Elizabeth",3,2019,4.04,308704
O perigo de estar lúcida,"Montero, Rosa",5,2022,4.12,14516
"나 혼자만 레벨업 10(Solo Leveling, #10)","Dubu, Redice Studio",4,2024,4.66,3430
"나 혼자만 레벨업 9(Solo Leveling, #9)","Dubu, Redice Studio",4,2023,4.66,4370
"나 혼자만 레벨업 8(Solo Leveling, #8)","Dubu, Redice Studio",4,2023,4.64,5500
"나 혼자만 레벨업 7(Solo Leveling, #7)","Dubu, Redice Studio",4,2023,4.65,6019
"Solo Leveling, Vol. 6","Dubu, Redice Studio",5,2022,4.6,7054
"나 혼자만 레벨업 5(Solo Leveling, #5)","Dubu, Redice Studio",5,2018,4.6,8143
Solo Leveling 4,"Dubu, Redice Studio",5,2021,4.6,9912
Solo Leveling 3,"Dubu, Redice Studio",4,2020,4.57,12310
"나 혼자만 레벨업 2(Solo Leveling, #2)","Dubu, Redice Studio",4,2020,4.56,14941
"나 혼자만 레벨업 1(Solo Leveling, #1)","Dubu, Redice Studio",4,2019,4.46,41313
Swimming in the Dark,"Jedrowski, Tomasz",4,2020,4.25,62225
Felicidade Conjugal,"Tolstoy, Leo",4,1859,3.91,13492
Estou feliz que minha mãe morreu,"McCurdy, Jennette",5,2022,4.45,1290293
Lonely Castle in the Mirror,"Tsujimura, Mizuki",4,2017,4.25,33802
O Acontecimento,"Ernaux, Annie",4,2000,4.31,61145
"Divinos Rivais(Divinos Rivais, #1)","Ross, Rebecca",4,2023,4.16,633785
"Once Upon a Broken Heart(Once Upon a Broken Heart, #1)","Garber, Stephanie",2,2021,4.06,517576
The Very Secret Society of Irregular Witches,"Mandanna, Sangu",4,2022,4.06,288023
Lessons in Chemistry,"Garmus, Bonnie",4,2022,4.28,1611042
Retalhos,"Thompson, Craig",4,2003,4.06,121892
Happy Place,"Henry, Emily",5,2023,3.96,1232893
"Elantris(Elantris, #1)","Sanderson, Brandon",5,2005,4.17,317738
História da Menina Perdida(L'amica geniale #4),"Ferrante, Elena",5,2014,4.46,162245
"História de quem foge e quem fica: Tempo intermédio(Napolitana, #3)","Ferrante, Elena",4,2013,4.36,176150
"História do novo sobrenome: Juventude(Napolitana, #2)","Ferrante, Elena",5,2012,4.46,213373
"A amiga genial(Napolitana, #1)","Ferrante, Elena",5,2011,4.05,415184
"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle",4,2022,4.13,1191705
Cleopatra and Frankenstein,"Mellors, Coco",3,2022,3.71,186643
O ano do pensamento mágico,"Didion, Joan",5,2005,3.93,277369
Nada para ver aqui,"Wilson, Kevin",4,2019,3.96,207573
Relatos de um Gato Viajante,"Arikawa, Hiro",5,2012,4.33,90934
"Kim Jiyoung, Born 1982","Cho, Nam-Joo",4,2016,4.17,173592
Normal People,"Rooney, Sally",5,2018,3.81,1685888
Eu que nunca conheci os homens,"Harpman, Jacqueline",5,1995,4.17,217947
Um Homem Chamado Ove,"Backman, Fredrik",4,2012,4.38,1138693
Violeta,"Allende, Isabel",5,2022,4.03,97806
Tudo é rio,"Madeira, Carla",4,2014,4.23,32993
"Clube do Livro dos Homens(Clube do Livro dos Homens, #1)","Adams, Lyssa Kay",2,2019,3.87,127425
O fim da eternidade,"Asimov, Isaac",,1955,4.24,59943
Anna Karenina,"Tolstoy, Leo",,1878,4.1,892999
A Insustentável Leveza do Ser,"Kundera, Milan",4,1984,4.11,514152
The Love Hypothesis,"Hazelwood, Ali",5,2021,4.12,1624278
The Dutch House,"Patchett, Ann",5,2019,4.1,509027
O Retrato de Dorian Gray,"Wilde, Oscar",5,1890,4.13,1734880
"Insignia(Insignia, #1)","Kincaid, S.J.",3,2012,4.15,15945
"Belo mundo, onde você está","Rooney, Sally",3,2021,3.53,455565
Almond,Sohn Won-Pyung,5,2017,4.15,153305
A Vegetariana,Han Kang,4,2007,3.64,278679
Klara and the Sun,"Ishiguro, Kazuo",4,2021,3.74,394422
Depois,"King, Stephen",4,2021,3.97,140133
The Vanishing Half,"Bennett, Brit",4,2020,4.13,815706
"Nevernight - A Sombra do Corvo(Crônicas da Quasinoite, #1)","Kristoff, Jay",4,2016,4.22,107863
Kindred,"Butler, Octavia E.",5,1979,4.31,249788
A Cidade do Sol,"Hosseini, Khaled",4,2007,4.45,1650337
A menina que roubava livros,"Zusak, Markus",4,2005,4.39,2759383
O Impulso,"Audrain, Ashley",4,2021,4.05,398590
Where the Crawdads Sing,"Owens, Delia",4,2018,4.38,3399664
"Opal(The Raven Cycle, #4.5)","Stiefvater, Maggie",4,2018,4.11,21515
O Último Adeus,"Hand, Cynthia",4,2015,4.08,26957
Misery: Louca obsessão,"King, Stephen",4,1987,4.23,800428
"The Raven King(The Raven Cycle, #4)","Stiefvater, Maggie",5,2016,4.25,154318
Anxious People,"Backman, Fredrik",5,2019,4.17,727855
As Fúrias Invisíveis do Coração,"Boyne, John",5,2017,4.51,189682
"Death Note, Vol. 12: Finis(Death Note, #12)","Ohba, Tsugumi",4,2006,4.38,20943
"Death Note, Vol. 11: Kindred Spirits(Death Note, #11)","Ohba, Tsugumi",5,2006,4.2,19227
"Death Note, Vol. 10: Deletion(Death Note, #10)","Ohba, Tsugumi",5,2006,4.21,19919
"Death Note, Vol. 9: Contact(Death Note, #9)","Ohba, Tsugumi",5,2005,4.19,21242
"Death Note, Vol. 8: Target(Death Note, #8)","Ohba, Tsugumi",5,2005,4.22,25723
"Death Note, Vol. 7: Zero(Death Note, #7)","Ohba, Tsugumi",5,2005,4.44,29432
"Death Note, Vol. 6: Give-and-Take(Death Note, #6)","Ohba, Tsugumi",5,2005,4.39,28969
"Death Note, Vol. 5: Whiteout(Death Note, #5)","Ohba, Tsugumi",5,2005,4.31,31339
